Sno,Filter,Filter command,Example,Result,Threshold,Range
162,,Motion Blur (Vertical):,"magick input.jpg -convolve 1,0,-1,1,0,-1,1,0,-1 output.jpg","Output: Creates a vertical motion blur effect, simulating movement vertically in the image.",,
163,,Enhance Contrast:,"magick input.jpg -convolve -1,2,-1,-2,4,-2,-1,2,-1 output.jpg","Output: Enhances contrast in the image, highlighting transitions between light and dark areas.",,
164,"/-crop
 allows you to extract a rectangular region from an image, defined by its width, height, and an optional offset.",Basic Crop (Centered),magick input.jpg -crop 100x100 output.jpg,Crops a 100x100 pixel square from the center of the image.,,
165,,Crop with Specific Offset,magick input.jpg -crop 150x150+50+50 output.jpg,"Crops a 150x150 pixel area starting at coordinates (50, 50).",,
166,,Crop with Percentage,magick input.jpg -crop 50%x50% output.jpg,Crops the image to the center 50% of its width and height.,,
167,,Crop with Gravity (Center),magick input.jpg -gravity Center -crop 200x200 output.jpg,Crops a 200x200 pixel area centered in the image.,,
168,,Crop with Gravity (Northwest),magick input.jpg -gravity Northwest -crop 250x250 output.jpg,Crops a 250x250 pixel area from the top-left corner of the image.,,
169,,Crop with Gravity (Southeast),magick input.jpg -gravity Southeast -crop 300x300 output.jpg,Crops a 300x300 pixel area from the bottom-right corner of the image.,,
170,,Crop with Aspect Ratio,magick input.jpg -crop 4:3 output.jpg,Crops the image maintaining a 4:3 aspect ratio based on original dimensions.,,
171,,Crop with Extended Dimensions,magick input.jpg -crop 300x200+50+50 output.jpg,"Crops a 300x200 pixel area starting from coordinates (50, 50).",,
172,,Crop to Aspect Ratio with Offset,magick input.jpg -crop 16:9+10+10 output.jpg,"Crops the image to a 16:9 aspect ratio starting from (10, 10).",,
173,,Crop with Strip Option,magick input.jpg -crop 100x100 +repage output.jpg,Crops a 100x100 pixel area and removes any virtual canvas offset.,,
174,,Crop and Resize,magick input.jpg -crop 200x200 +repage -resize 100x100 output.jpg,Crops a 200x200 pixel area and then resizes it to 100x100 pixels.,,
175,,Crop to a Square from the Center,magick input.jpg -gravity Center -crop 150x150+0+0 output.jpg,Crops a square (150x150 pixels) from the center of the image.,,
176,,Crop with Output Format Specification,magick input.jpg -crop 250x250 +repage -format png output.png,Crops a 250x250 pixel area and saves the output as a PNG file.,,
177,,Crop with Fixed Aspect Ratio and Size,magick input.jpg -crop 300x200 +repage -resize 300x200 output.jpg,Crops to a 300x200 pixel area and resizes to maintain the same dimensions.,,
178,,Crop and Keep Background Transparent,magick input.jpg -crop 200x200+10+10 -background transparent output.png,"Crops a 200x200 pixel area from (10, 10) and saves with a transparent background.",,
179,"/-cycle 
 allows you to control how the images are cycled when using the magick command.",Cycle Through Images,magick input.jpg -cycle 0 output.jpg,Sets the cycle point to the first image (index 0).,,
180,,Cycle Through Images (Positive),magick input.jpg -cycle +1 output.jpg,"Advances the cycle point by 1, cycling through the images.",,
181,,Cycle Through Images (Negative),magick input.jpg -cycle -1 output.jpg,"Moves the cycle point back by 1, cycling through the images.",,
182,,Cycle Through Images with Step Size,magick input.jpg -cycle 2 output.jpg,Sets the cycle point to the third image (index 2).,,
183,,Cycle Through Images (Multiple Cycles),magick input.jpg -cycle +5 output.jpg,"Advances the cycle point by 5, allowing for multiple cycling.",,
184,,Cycle with Edge Images,magick input.jpg -cycle -5 output.jpg,Cycles to the fifth-to-last image in the list.,,
185,"/-despeckle
 Reduce the speckles{mark with a large number of small spots or patches of colour} within an image",Basic Despeckle,magick input.jpg -despeckle output.jpg,Applies a despeckling filter to remove noise from the image.,,
186,,Despeckle with Resize,magick input.jpg -resize 200x200 -despeckle output.jpg,Resizes the image to 200x200 pixels and then applies the despeckling filter.,,
187,,Despeckle with Blur,magick input.jpg -blur 0x1 -despeckle output.jpg,Applies a slight blur before despeckling to further reduce noise.,,
188,,Despeckle with Enhance,magick input.jpg -enhance -despeckle output.jpg,Enhances the image contrast before despeckling to improve output quality.,,
189,,Despeckle with Edge Detection,magick input.jpg -edge 1 -despeckle output.jpg,Detects edges in the image before applying the despeckling filter.,,
190,,Despeckle with Custom Filter,magick input.jpg -filter Gaussian -despeckle output.jpg,Applies a Gaussian filter to the image followed by despeckling.,,
191,"/-draw
 The -draw option is versatile and allows for a wide range of drawing operations directly on images.
 
 The resulting output.jpg will display the effects of the drawing operations specified in each command.",Basic Draw (Line),"magick input.jpg -draw ""line 10,10 100,100"" output.jpg","Draws a line from coordinates (10,10) to (100,100) on the image.",,
192,,Draw Rectangle,"magick input.jpg -draw ""rectangle 50,50 150,150"" output.jpg","Draws a rectangle with corners at (50,50) and (150,150).",,
193,,Draw Circle,"magick input.jpg -draw ""circle 100,100 120,120"" output.jpg","Draws a circle with center at (100,100) and radius determined by (120,120).",,
194,,Draw Ellipse,"magick input.jpg -draw ""ellipse 100,100 50,30 0,360"" output.jpg","Draws an ellipse centered at (100,100) with radii of 50 and 30.",,
195,,Draw Polygon,"magick input.jpg -draw ""polygon 50,50 100,100 150,50"" output.jpg",Draws a polygon connecting the specified vertices.,,
196,,Draw Text,"magick input.jpg -draw ""text 10,30 'Hello World'"" output.jpg","Draws the text ""Hello World"" at coordinates (10,30) on the image.",,
197,,Draw Image,"magick input.jpg -draw ""image Over 0,0 100,100 'overlay.png'"" output.jpg","Overlays 'overlay.png' at coordinates (0,0) on the image.",,
198,,Draw Composite,"magick input.jpg -draw ""image Over 0,0 'overlay.png'"" output.jpg","Composites 'overlay.png' over the input image starting at (0,0).",,
199,,Draw Path,"magick input.jpg -draw ""path 'M 50,50 L 100,100'"" output.jpg","Draws a path from (50,50) to (100,100) using SVG path commands.",,
200,,Draw Filled Rectangle,"magick input.jpg -draw ""fill blue rectangle 50,50 150,150"" output.jpg","Draws a filled blue rectangle from (50,50) to (150,150).",,
201,,Draw Filled Circle,"magick input.jpg -draw ""fill red circle 100,100 120,120"" output.jpg","Draws a filled red circle centered at (100,100).",,
202,,Draw Stroke Width,"magick input.jpg -draw ""stroke black stroke-width 3 line 10,10 100,100"" output.jpg",Draws a black line with a stroke width of 3.,,
203,,Draw Arc,"magick input.jpg -draw ""arc 100,100 50,50 0,180"" output.jpg","Draws an arc centered at (100,100) with a radius of 50.",,
204,,Draw Bezier Curve,"magick input.jpg -draw ""bezier 50,50 100,10 150,150"" output.jpg",Draws a Bezier curve connecting the specified control points.,,
205,"/-draw
 Each command reflects different drawing capabilities, allowing you to manipulate images creatively.
 Annotate an image with one or more graphic primitives.",Draw Point,"magick input.jpg -draw ""point 10,10"" output.jpg","Draws a single point at coordinates (10,10) on the image.",,
206,,Draw Line,"magick input.jpg -draw ""line 10,10 100,100"" output.jpg","Draws a line from (10,10) to (100,100) on the image.",,
207,,Draw Rectangle,"magick input.jpg -draw ""rectangle 50,50 150,150"" output.jpg","Draws a rectangle with corners at (50,50) and (150,150).",,
208,,Draw Rounded Rectangle,"magick input.jpg -draw ""roundRectangle 50,50 150,150 20,20"" output.jpg",Draws a rectangle with rounded corners at the specified dimensions.,,
209,,Draw Arc,"magick input.jpg -draw ""arc 50,50 150,150 0,180"" output.jpg","Draws an arc from (50,50) to (150,150) covering the specified angles.",,
210,,Draw Ellipse,"magick input.jpg -draw ""ellipse 100,100 50,30 0,360"" output.jpg","Draws an ellipse centered at (100,100) with the specified radii.",,
211,,Draw Circle,"magick input.jpg -draw ""circle 100,100 120,120"" output.jpg","Draws a circle centered at (100,100) with a radius determined by (120,120).",,
212,,Draw Polyline,"magick input.jpg -draw ""polyline 50,50 100,100 150,50"" output.jpg",Draws a series of connected lines between the specified points.,,
213,,Draw Polygon,"magick input.jpg -draw ""polygon 50,50 100,100 150,50"" output.jpg",Draws a closed shape connecting the specified vertices.,,
214,,Draw Bezier Curve,"magick input.jpg -draw ""bezier 50,50 100,10 150,150"" output.jpg",Draws a Bezier curve using the specified control points.,,
215,,Draw Path,"magick input.jpg -draw ""path 'M 50,50 L 100,100'"" output.jpg",Draws a path using SVG commands.,,
216,,Draw Image,"magick input.jpg -draw ""image Over 0,0 100,100 'overlay.png'"" output.jpg","Overlays 'overlay.png' at (0,0) on the image.",,
217,,Draw Filled Rectangle,"magick input.jpg -draw ""fill blue rectangle 50,50 150,150"" output.jpg",Draws a filled blue rectangle.,,
218,,Draw Filled Circle,"magick input.jpg -draw ""fill red circle 100,100 120,120"" output.jpg",Draws a filled red circle.,,
219,,Draw Stroke Width,"magick input.jpg -draw ""stroke black stroke-width 3 line 10,10 100,100"" output.jpg",Draws a black line with a stroke width of 3.,,
220,,Draw Text,"magick input.jpg -draw ""text 10,30 'Hello World'"" output.jpg","Draws the text ""Hello World"" at (10,30).",,
221,"/-edge radius
 The -edge option applies an edge detection filter to the input image, highlighting the boundaries of objects within the image.
 
 The resulting output.jpg will display the edges detected based on the specified radius.",Basic Edge Detection,magick input.jpg -edge 1 output.jpg,Detects edges in the image using a 1-pixel radius.,,
222,,Medium Edge Detection,magick input.jpg -edge 3 output.jpg,Detects edges in the image using a 3-pixel radius.,,
223,,Strong Edge Detection,magick input.jpg -edge 5 output.jpg,Detects edges in the image using a 5-pixel radius.,,
224,,Custom Radius Edge Detection,magick input.jpg -edge 10 output.jpg,Detects edges in the image using a 10-pixel radius.,,
225,,Edge Detection with Background,magick input.jpg -edge 1 -background white output.jpg,Detects edges and sets the background color to white.,,
226,"/-emboss
 The -emboss option creates a three-dimensional appearance on the image by simulating light and shadow effects based on pixel values.
 
 The resulting output.jpg will display the embossed version of the input image.",Basic Emboss,magick input.jpg -emboss 1 output.jpg,Applies a basic emboss effect to the image with a radius of 1.,,
227,,Medium Emboss,magick input.jpg -emboss 2 output.jpg,Applies an emboss effect with a radius of 2 for more pronounced results.,,
228,,Strong Emboss,magick input.jpg -emboss 3 output.jpg,Applies a strong emboss effect with a radius of 3 for a dramatic look.,,
229,,Custom Radius Emboss,magick input.jpg -emboss 5 output.jpg,Applies an emboss effect with a custom radius of 5.,,
230,"/-enhance
 Apply a digital filter to enhance a noisy image.
 The -enhance option automatically adjusts the image to improve its overall appearance without requiring specific parameters.",Basic Enhance,magick input.jpg -enhance output.jpg,"Enhances the overall quality of the image, improving brightness and contrast.",,
231,,Enhance with Preprocessing,magick input.jpg -enhance -contrast output.jpg,Enhances the image after applying a contrast adjustment.,,
232,,Multiple Enhancements,magick input.jpg -enhance -normalize output.jpg,Enhances the image and normalizes brightness levels for better contrast.,,
233,,Sharp Enhance,magick input.jpg -enhance -sharpen 0x1 output.jpg,Enhances the image and sharpens it for increased detail.,,
234,,Threshold Enhance,magick input.jpg -enhance -threshold 50% output.jpg,"Enhances and applies a threshold of 50%, resulting in a binary image.",50%,
235,,Custom Threshold Enhance,magick input.jpg -enhance -threshold 70% output.jpg,Enhances and applies a threshold of 70% for more defined edges.,70%,
236,"/-equalize
 The -equalize option enhances the contrast of the image by adjusting the histogram, making the image's brightness levels more uniform.
 Perform histogram equalization on the image channel-by-channel.",Basic Equalization,magick input.jpg -equalize output.jpg,"Equalizes the histogram of the image, enhancing contrast.",None,None
237,,Equalize with RGB Channels,magick input.jpg -equalize -colorspace RGB output.jpg,Equalizes the image in RGB color space for better color balance.,None,None
238,,Equalize Grayscale Image,magick input.jpg -colorspace Gray -equalize output.jpg,Converts to grayscale and then equalizes the image histogram.,None,None
239,,Equalize with Specific Threshold,magick input.jpg -equalize -threshold 50% output.jpg,Equalizes the image after applying a threshold of 50%.,50%,None
240,,Equalize with Defined Range,"magick input.jpg -equalize -level 10%,90% output.jpg",Equalizes the image within a specified range of pixel values (10% to 90%).,None,10%-90%
241,"/-evaluate operator value
 
 Alter channel pixels by evaluating an arithmetic, relational, or logical expression.
 The -evaluate command allows you to apply various mathematical operations to each pixel in the image, providing significant flexibility for image adjustments.",Add Value,magick input.jpg -evaluate add 50 output.jpg,"Adds 50 to each pixel value, increasing brightness.",None,None
242,,Subtract Value,magick input.jpg -evaluate subtract 30 output.jpg,"Subtracts 30 from each pixel value, decreasing brightness.",None,None
243,,Multiply by Value,magick input.jpg -evaluate multiply 1.5 output.jpg,"Multiplies each pixel value by 1.5, enhancing brightness.",None,None
244,,Divide by Value,magick input.jpg -evaluate divide 2 output.jpg,"Divides each pixel value by 2, reducing brightness.",None,None
245,,Threshold,magick input.jpg -evaluate threshold 128 output.jpg,Converts pixels to black and white based on a threshold of 128.,128,None
246,,Threshold Black,magick input.jpg -evaluate thresholdblack 50 output.jpg,"Converts pixels below 50 to black, retaining others.",50,None
247,,Threshold White,magick input.jpg -evaluate thresholdwhite 200 output.jpg,"Converts pixels above 200 to white, retaining others.",200,None
248,,Maximum,magick input.jpg -evaluate max 100 output.jpg,Sets pixels to the maximum of 100 or the current pixel value.,None,None
249,,Minimum,magick input.jpg -evaluate min 50 output.jpg,Sets pixels to the minimum of 50 or the current pixel value.,None,None
250,,Gaussian Noise,magick input.jpg -evaluate Gaussian-noise 0.05 output.jpg,Applies Gaussian noise to the image.,None,0.05
251,,Laplacian Noise,magick input.jpg -evaluate Laplacian-noise output.jpg,Applies Laplacian noise to the image.,None,None
252,,Sin (Sine),magick input.jpg -evaluate sin 45 output.jpg,Applies sine transformation to pixel values with a frequency of 45.,None,None
253,,Cos (Cosine),magick input.jpg -evaluate cos 45 output.jpg,Applies cosine transformation to pixel values with a frequency of 45.,None,None
254,,Logarithm,magick input.jpg -evaluate log output.jpg,"Applies logarithm to each pixel value, adjusting brightness.",None,None
255,,Square Root,magick input.jpg -evaluate sqrt output.jpg,Applies square root transformation to each pixel value.,None,None
256,,Root Mean Square,magick input.jpg -evaluate rootmeansquare output.jpg,Calculates the root mean square of the pixel values.,None,None
257,,Raise to Power,magick input.jpg -evaluate pow 2 output.jpg,"Raises each pixel value to the power of 2, enhancing brightness.",None,None
258,,Binary AND,magick input.jpg -evaluate and 128 output.jpg,Applies a binary AND operation with the value 128 on each pixel.,None,None
259,,Binary OR,magick input.jpg -evaluate or 128 output.jpg,Applies a binary OR operation with the value 128 on each pixel.,None,None
260,,Binary XOR,magick input.jpg -evaluate xor 128 output.jpg,Applies a binary XOR operation with the value 128 on each pixel.,None,None
261,,Left Shift,magick input.jpg -evaluate leftshift 1 output.jpg,"Shifts pixel values left by 1 bit, effectively multiplying by 2.",None,None
262,,Right Shift,magick input.jpg -evaluate rightshift 1 output.jpg,"Shifts pixel values right by 1 bit, effectively dividing by 2.",None,None
263,"/-extent 
 geometry
 Set the image size and offset.
 The -extent command is used to resize the canvas of an image without changing its actual dimensions. It can be particularly useful for creating padding around an image.
 The -gravity option determines how the original image is positioned on the new canvas.
 The -background option specifies the color used for the newly created area when extending the canvas.",Basic Extent,magick input.jpg -extent 800x600 output.jpg,"Resizes the canvas to 800x600 pixels, keeping the image centered.",None,None
264,,Extent with Background Color,magick input.jpg -extent 800x600 -background white output.jpg,"Extends canvas to 800x600 pixels, filling with white background.",None,None
265,,Extent with Gravity,magick input.jpg -gravity North -extent 800x600 output.jpg,"Resizes canvas to 800x600 pixels, anchoring at the top (North).",None,None
266,,Extent with Custom Color,magick input.jpg -extent 800x600 -background blue output.jpg,"Extends canvas to 800x600 pixels, filling with blue background.",None,None
267,,Extend with Negative Values,magick input.jpg -extent -100-100 output.jpg,Adjusts the canvas size negatively; pixels will be cropped.,None,None
268,,Multiple Commands,magick input.jpg -gravity Center -background gray -extent 800x600 output.jpg,"Extends canvas to 800x600 pixels, centered with a gray background.",None,None
269,"/-flip
 Create a mirror image
 reflect the scanlines in the vertical direction. The image will be mirrored upside-down.",Basic Flip,magick input.jpg -flip output.jpg,Flips the image vertically (top to bottom).,None,None
270,,Flip with Output Format,magick input.jpg -flip output.png,Flips the image vertically and saves it as a PNG file.,None,None
271,,Flip with Overwrite,magick input.jpg -flip input.jpg,Flips the image vertically and overwrites the original file.,None,None
272,,Flip with Multiple Formats,magick input.jpg -flip output.tiff,Flips the image vertically and saves it as a TIFF file.,None,None
273,,Flip with Quality Setting,magick input.jpg -flip -quality 90 output.jpg,Flips the image vertically with a quality setting of 90%.,None,0-100
274,,Flip with Verbose Output,magick -verbose input.jpg -flip output.jpg,Flips the image vertically and provides verbose output about the process.,None,None
275,"/-flop
 Create a mirror image.
 Reflect the scanlines in the horizontal direction, just like the image in a vertical mirror.",Basic Flop,magick input.jpg -flop output.jpg,Flops the image horizontally (left to right).,None,None
276,,Flop with Output Format,magick input.jpg -flop output.png,Flops the image horizontally and saves it as a PNG file.,None,None
277,,Flop with Overwrite,magick input.jpg -flop input.jpg,Flops the image horizontally and overwrites the original file.,None,None
278,,Flop with Multiple Formats,magick input.jpg -flop output.tiff,Flops the image horizontally and saves it as a TIFF file.,None,None
279,,Flop with Quality Setting,magick input.jpg -flop -quality 90 output.jpg,Flops the image horizontally with a quality setting of 90%.,None,0-100
280,"/-floodfill {+-}x{+-}y color
 Floodfill the image with color at the specified offset.
 Flood fill starts from the given 'seed point' which is not gravity affected.
 used to fill a contiguous area of pixels starting from a specified coordinate with a specific color.",Basic Flood Fill,magick input.jpg -floodfill +0+0 red output.jpg,"Fills the area starting from pixel (0,0) with the color red.",None,None
281,,Flood Fill with Transparency,magick input.png -floodfill +10+10 blue output.png,"Fills from pixel (10,10) with blue, preserving transparency.",None,None
282,,Flood Fill with Tolerance,magick input.jpg -floodfill -t 10 +50+50 green output.jpg,"Fills the area at (50,50) with green, using a tolerance of 10.",10,0-100
283,,Flood Fill with Color Specification,"magick input.jpg -floodfill +20+20 ""#FF5733"" output.jpg","Fills the area at (20,20) with the specified hex color (#FF5733).",None,None
284,,Flood Fill with Specific Fill Area,magick input.jpg -floodfill +30+30 yellow -paint 2 output.jpg,"Fills the area at (30,30) with yellow and applies paint effect.",None,None
285,,Flood Fill with Region,magick input.jpg -floodfill -f 50% +40+40 cyan output.jpg,"Fills the area at (40,40) with cyan, limiting fill to 50% of the region.",50%,0-100
286,"/-frame geometry
 Surround the image with a border or beveled frame.
 
 used to add a decorative frame around an image.
 You can customize the frame thickness, color, and background options to suit your needs.",Basic Frame,magick input.jpg -frame 10x10 output.jpg,Adds a simple frame of 10 pixels around the image.,None,None
287,,Frame with Color,magick input.jpg -frame 5x5 -background blue output.jpg,Adds a blue frame of 5 pixels around the image.,None,None
288,,Frame with Inner Border,magick input.jpg -frame 15x15 -bordercolor green output.jpg,Adds a green inner border frame of 15 pixels around the image.,None,None
289,,Frame with Custom Size,magick input.jpg -frame 20x10 output.jpg,Adds a frame of 20 pixels on the width and 10 pixels on the height.,None,None
290,,Frame with Specific Thickness,magick input.jpg -frame 30x15 -bordercolor red output.jpg,Adds a red frame with specific thickness around the image.,None,None
291,,Frame with Transparency,magick input.png -frame 10x10 -background none output.png,Adds a transparent frame of 10 pixels around the image.,None,None
292,,Complex Frame,magick input.jpg -frame 5x5 -background white -bordercolor black output.jpg,Adds a complex frame with white background and black border.,None,None
293,"/-fx expression
 Apply a mathematical expression to an image or image channels.
 R-red G-green B-blue
 You can manipulate color channels and apply complex transformations using various functions and operations.",Basic FX,magick input.jpg -fx '0.5*R' output.jpg,Reduces the red channel to half its original value.,None,None
294,,Adjust Brightness,magick input.jpg -fx '0.5*R + 0.5*G + 0.5*B' output.jpg,Adjusts brightness by averaging the RGB channels and scaling down.,None,None
295,,Increase Contrast,magick input.jpg -fx '1.2*R' output.jpg,Increases the red channel intensity by 20%.,None,None
296,,Color Transformation,magick input.jpg -fx 'R*0.299 + G*0.587 + B*0.114' output.jpg,Converts image to grayscale using luminance calculation.,None,None
297,,Apply Gaussian Blur,"magick input.jpg -fx 'gaussian(x,y,3,3)' output.jpg",Applies a Gaussian blur with a radius of 3.,None,None
298,,Negative Image,magick input.jpg -fx '1-R' output.jpg,Creates a negative of the image by subtracting the red channel from 1.,None,None
299,,Custom Expression,magick input.jpg -fx 'R+G+B' output.jpg,Creates a composite of the RGB values.,None,None
300,,Threshold Adjustment,"magick input.jpg -fx 'if(R < 0.5,0,1)' output.jpg","Applies a threshold, setting red channel to 0 or 1 based on a condition.",None,None
301,,Channel Isolation,magick input.jpg -fx 'R' output.jpg,Isolates and outputs only the red channel.,None,None
302,"/-gamma value
 Level of gamma correction.
 The -gamma option adjusts the gamma of an image, affecting its brightness and contrast.
 A value less than 1 darkens the image, while a value greater than 1 brightens it.",Basic Gamma Correction,magick input.jpg -gamma 2.2 output.jpg,"Adjusts the image gamma to 2.2, brightening it overall.",None,Reasonable values extend from 0.8 to 2.3. Gamma less than 1.0 darkens the image and gamma greater than 1.0 lightens it
303,,Gamma Correction (Lower Value),magick input.jpg -gamma 0.5 output.jpg,"Adjusts the image gamma to 0.5, darkening it overall.",None,
304,,Gamma Correction (Higher Value),magick input.jpg -gamma 3.0 output.jpg,"Adjusts the image gamma to 3.0, significantly brightening it.",None,
305,,Gamma with Different Channels,magick input.jpg -gamma 1.8 -gamma 1.5 -gamma 2.0 output.jpg,"Applies different gamma values to R, G, and B channels respectively.",None,
306,,Gamma Correction (Without Specified Value),magick input.jpg -gamma output.jpg,Adjusts the gamma to the default value of 1.0.,None,
307,,Gamma with Resultant Image,magick input.jpg -gamma 1.8 -gamma 0.7 -gamma 2.5 output.jpg,"Applies multiple gamma corrections, resulting in a complex image adjustment.",None,
308,"/-gaussian-blur radius
 Blur the image with a Gaussian operator.
 The -gaussian-blur option uses a specified radius and sigma to determine the intensity of the blur effect.
 The first value is the radius, which controls the size of the area around each pixel to consider when blurring, and the second value is sigma, which defines how much to blur.
 If the radius is set to 0, it will automatically calculate the appropriate radius based on the sigma.",Basic Gaussian Blur,magick input.jpg -gaussian-blur 0x2 output.jpg,Applies a Gaussian blur with a radius of 0 and a sigma of 2.,None,0 to ∞
309,,Gaussian Blur (Higher Sigma),magick input.jpg -gaussian-blur 0x5 output.jpg,Applies a Gaussian blur with a radius of 0 and a sigma of 5 for a softer effect.,None,0 to ∞
310,,Gaussian Blur (Specific Radius),magick input.jpg -gaussian-blur 3x2 output.jpg,Applies a Gaussian blur with a radius of 3 and a sigma of 2.,None,0 to ∞
311,,Gaussian Blur (Larger Radius),magick input.jpg -gaussian-blur 5x5 output.jpg,Applies a Gaussian blur with a radius of 5 and a sigma of 5.,None,0 to ∞
312,,Gaussian Blur (No Radius),magick input.jpg -gaussian-blur 2 output.jpg,Applies a Gaussian blur with a default radius and a sigma of 2.,None,0 to ∞
313,,Gaussian Blur with Radius Only,magick input.jpg -gaussian-blur 4x0 output.jpg,Applies a Gaussian blur with a radius of 4 and default sigma.,None,0 to ∞
314,,Gaussian Blur with Resultant Image,magick input.jpg -gaussian-blur 3x1 -gaussian-blur 5x0 output.jpg,Applies multiple Gaussian blurs for enhanced softening effects.,None,0 to ∞
315,"/-grayscale method
 Convert image to grayscale.
 The -grayscale option provides several methods for converting a color image to grayscale, allowing for flexibility based on the desired outcome.
 The different methods use various formulas to calculate the luminance or average values from the RGB channels to create the grayscale image.
 Threshold and range are typically not applicable as the output is a single-channel grayscale image where pixel values range from 0 (black) to 255 (white).",Grayscale Conversion using Rec601 Luma,magick input.jpg -grayscale Rec601Luma output.jpg,Output: Converts the image to grayscale using the Rec. 601 Luma formula (non-linear RGB).,N/A,N/A
316,,Grayscale Conversion using Rec601 Luminance,magick input.jpg -grayscale Rec601Luminance output.jpg,Output: Converts the image to grayscale using the Rec. 601 Luminance formula (linear RGB).,N/A,N/A
317,,Grayscale Conversion using Rec709 Luma,magick input.jpg -grayscale Rec709Luma output.jpg,Output: Converts the image to grayscale using the Rec. 709 Luma formula (non-linear RGB).,N/A,N/A
318,,Grayscale Conversion using Rec709 Luminance,magick input.jpg -grayscale Rec709Luminance output.jpg,Output: Converts the image to grayscale using the Rec. 709 Luminance formula (linear RGB).,N/A,N/A
319,,Grayscale Conversion using Brightness,magick input.jpg -grayscale Brightness output.jpg,Output: Converts the image to grayscale using the brightness method (maximum RGB channel value).,N/A,N/A
320,,Grayscale Conversion using Lightness,magick input.jpg -grayscale Lightness output.jpg,Output: Converts the image to grayscale using the lightness method (average of minimum and maximum RGB values).,N/A,N/A
321,,Grayscale Conversion using Average,magick input.jpg -grayscale Average output.jpg,Output: Converts the image to grayscale using the average of the RGB values.,N/A,N/A
322,,Grayscale Conversion using Mean Square (MS),magick input.jpg -grayscale MS output.jpg,Output: Converts the image to grayscale using the mean square formula.,N/A,N/A
323,,Grayscale Conversion using Root Mean Square (RMS),magick input.jpg -grayscale RMS output.jpg,Output: Converts the image to grayscale using the root mean square formula.,N/A,N/A
324,"/-implode factor
 Implode image pixels about the center.
 The implode effect is used to simulate the effect of compressing an image's pixels toward the center.
 Positive values shrink the image, while negative values expand it.",Basic Implode,magick input.jpg -implode 0.5 output.jpg,Output: Reduces the image size by 50% using implode effect.,N/A,N/A
325,,Full Implode,magick input.jpg -implode 1.0 output.jpg,"Output: Fully implodes the image, compressing all pixels to the center.",N/A,N/A
326,,Partial Implode,magick input.jpg -implode 2.0 output.jpg,"Output: Increases the implode effect, collapsing pixels further.",N/A,N/A
327,,Negative Implode,magick input.jpg -implode -0.5 output.jpg,"Output: Applies negative implode effect, expanding the image.",N/A,N/A
328,"/-immutable
 Make image immutable.
 The -immutable flag is useful for protecting images from accidental edits.
 Setting an image as immutable is a simple way to ensure its integrity during processing.",Set Image as Immutable,magick input.jpg -immutable output.jpg,"Output: Marks the image as immutable, preventing changes.",N/A,N/A
329,,Unset Image Immutable,magick input.jpg -immutable false output.jpg,"Output: Resets the immutable property, allowing changes.",N/A,N/A
330,"/-integral
 Calculate the sum of values (pixel values) in the image.
 The -integral command helps speed up processing tasks, particularly for convolution and filtering.
 It can be used for single or multiple color channels.",Calculate Integral Image,magick input.jpg -integral output.jpg,"Output: Computes the integral image, useful for quick calculations.",N/A,N/A
331,,Compute Integral Image with Channel,magick input.jpg -integral red -integral output.jpg,Output: Computes the integral for a specific channel (red).,N/A,N/A
332,,Compute Integral Image with Multiple Channels,magick input.jpg -integral red -integral green -integral output.jpg,Output: Computes integral images for multiple channels.,N/A,N/A
333,"/-kmeans colors{xiterations}{+tolerance}
 Kmeans (iterative) color reduction (e.g. -kmeans 5x300+0.0001).
 The -kmeans command is used for color quantization, effectively reducing the number of distinct colors in an image.
 The number of clusters can be adjusted according to the desired output.",Basic K-means Clustering,magick input.jpg -kmeans 5 output.jpg,Output: Clusters the image into 5 colors.,N/A,N/A
334,,K-means with Iterations,magick input.jpg -kmeans 5 -iterations 10 output.jpg,Output: Clusters the image into 5 colors with 10 iterations.,N/A,N/A
335,,K-means with Color Distance,magick input.jpg -kmeans 5 -colorspace sRGB output.jpg,Output: Clusters the image into 5 colors using sRGB color space.,N/A,N/A
336,,K-means with Optimization,magick input.jpg -kmeans 5 -dither output.jpg,Output: Clusters the image into 5 colors and applies dithering.,N/A,N/A
337,,K-means with Predefined Colors,magick input.jpg -kmeans 5 -colors output.jpg,Output: Clusters the image into 5 colors and uses the existing colors.,N/A,N/A
338,"/-label
 The -label command is used to annotate images with text.
 You can customize font, position, and background color for the label.",Basic Labeling,"magick input.jpg -label ""Sample Label"" output.jpg","Output: Adds the label ""Sample Label"" to the image.",N/A,N/A
339,,Label with Font,"magick input.jpg -font Arial -label ""Sample"" output.jpg","Output: Adds the label ""Sample"" with Arial font to the image.",N/A,N/A
340,,Label with Position,"magick input.jpg -label ""Sample"" -gravity South output.jpg","Output: Adds the label ""Sample"" at the bottom of the image.",N/A,N/A
341,,Label with Background Color,"magick input.jpg -background lightblue -label ""Sample"" output.jpg","Output: Adds the label ""Sample"" with a light blue background.",N/A,N/A
342,,Transparent Label,"magick input.jpg -label ""Sample"" -background none output.jpg","Output: Adds the label ""Sample"" with a transparent background.",N/A,N/A
343,"/-lat 
 applies local adaptive thresholding for high-contrast results.
 Parameters: <width>x<height>+<threshold>, where threshold is a percentage",Basic Local Thresholding,magick input.jpg -lat 15x15+10% output.jpg,Output: Applies adaptive thresholding with a 15x15 neighborhood and 10% threshold.,10%,15x15
