"sno","repo_name","repo_url","description","stars","language","last_updated","scraped_at","has_features","feature_count","feature_info","is_accessible","accessibility_info","validated_at","id","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","hasWiki","isArchived","isDisabled","isLocked","languages","topics"
"228","wp-cli/config-command","https://github.com/wp-cli/config-command","Generates and reads the wp-config.php file.","39","Gherkin","2026-04-03T19:52:30Z","2026-04-06T15:26:09.532560","true","13","13 .feature files found","true","OK","2026-04-10T07:42:50Z","84367939","false","1442","4","39","39","Gherkin","main","MIT License","","39","39","69","8935","2017-03-08T21:29:36Z","2026-04-09T07:08:22Z","2026-04-03T19:52:33Z","8","8","138","3","false","false","false","false","","cli,config,hacktoberfest,wordpress,wp-cli,wp-cli-package"
"229","camaraproject/EdgeCloud","https://github.com/camaraproject/EdgeCloud","Sandbox API repository for EdgeCloud API(s)","22","Gherkin","2026-03-16T10:26:56Z","2026-04-06T15:26:09.532668","true","13","13 .feature files found","true","OK","2026-04-10T07:45:20Z","483956597","false","705","42","2","51","Gherkin","main","Apache License 2.0","https://lf-camaraproject.atlassian.net/wiki/x/ujLe","22","22","39","29875","2022-04-21T07:51:17Z","2026-04-09T13:09:34Z","2026-04-09T13:09:53Z","26","26","206","3","false","false","false","false","","camara-sp-edge-cloud"
"230","grasshopper7/cuke7-extent-adapter-report","https://github.com/grasshopper7/cuke7-extent-adapter-report","Generating Extent reports for Cucumber-JVM version 7 using the extentreports-cucumber7-adapter plugin ","7","Gherkin","2023-10-03T04:47:39Z","2026-04-06T15:26:16.895451","true","13","13 .feature files found","true","OK","2026-04-10T07:54:19Z","407617821","false","40","1","0","8","Gherkin","master","","https://ghchirp.online/3196/","7","7","2","7593","2021-09-17T16:57:51Z","2023-10-03T04:47:39Z","2024-01-19T23:17:04Z","4","4","0","0","true","false","false","false","",""
"231","peterquiel/karate-experiment","https://github.com/peterquiel/karate-experiment","Karate DSL experiments and sandbox","3","Gherkin","2020-11-10T07:57:16Z","2026-04-06T15:26:23.948794","true","13","13 .feature files found","true","OK","2026-04-10T08:12:57Z","181724001","false","18","1","0","0","Gherkin","master","Apache License 2.0","","3","3","0","83","2019-04-16T16:09:32Z","2020-11-10T07:57:16Z","2022-03-05T14:33:15Z","0","0","0","0","true","false","false","false","",""
"232","bitpay/bitpay-plugin","https://github.com/bitpay/bitpay-plugin","The feature description for any BitPay plugin","2","Gherkin","2015-04-05T16:27:51Z","2026-04-06T15:26:23.948897","true","13","13 .feature files found","true","OK","2026-04-10T08:15:06Z","33250300","false","7","2","6","2","Cucumber","master","MIT License","","2","2","0","149","2015-04-01T13:52:06Z","2015-04-05T16:27:51Z","2022-03-20T22:59:54Z","2","2","2","2","true","false","false","false","",""
"233","VNG-Realisatie/Haal-Centraal-common","https://github.com/VNG-Realisatie/Haal-Centraal-common","Project repository tbv de ontwikkeling van de over alle Haal Centraal API specificaties gedeelde specificaties","2","Gherkin","2026-03-03T13:09:29Z","2026-04-06T15:26:27.107041","true","13","13 .feature files found","true","OK","2026-04-10T08:20:40Z","234350465","false","303","12","4","7","Gherkin","master","Other","","2","2","6","556","2020-01-16T15:28:34Z","2026-04-08T09:07:44Z","2026-04-08T09:07:48Z","14","14","111","0","true","false","false","false","","api-specification"
"234","kpeter49/ITSC3155_Group21","https://github.com/kpeter49/ITSC3155_Group21","N/A","1","Gherkin","2021-12-07T16:23:49Z","2026-04-06T15:26:33.678574","true","13","13 .feature files found","true","OK","2026-04-10T08:35:53Z","414615609","false","129","8","0","1","Gherkin","main","","","1","1","4","862","2021-10-07T13:36:46Z","2021-12-07T16:23:49Z","2022-01-20T22:13:36Z","0","0","21","0","true","false","false","false","",""
"235","mriverov/marina-r","https://github.com/mriverov/marina-r","Ingenieria de Software","1","Gherkin","2016-07-01T15:22:42Z","2026-04-06T15:26:33.678599","true","13","13 .feature files found","true","OK","2026-04-10T08:36:07Z","5476599","false","33","1","0","0","Cucumber","master","","","1","1","2","399","2012-08-20T03:15:19Z","2016-07-01T15:22:42Z","2017-08-05T17:47:59Z","0","0","0","0","true","false","false","false","",""
"236","tasos-m/Mob-Software-Engineering","https://github.com/tasos-m/Mob-Software-Engineering","This is a group assignment of the course Software Engineering (AUTh - 8th semester). ","1","Gherkin","2021-04-09T17:02:37Z","2026-04-06T15:26:33.678713","true","13","13 .feature files found","true","OK","2026-04-10T08:38:25Z","349762211","false","27","2","0","0","Gherkin","main","MIT License","","1","1","0","12268","2021-03-20T15:25:56Z","2021-04-09T17:02:37Z","2021-04-28T09:05:49Z","0","0","0","0","true","false","false","false","",""
"237","safetrustcr/backend-SafeTrust","https://github.com/safetrustcr/backend-SafeTrust","Supports a decentralized platform for secure and trusted P2P cryptocurrency transactions.","10","Gherkin","2026-03-30T00:53:35Z","2026-04-06T15:26:13.132415","true","12","12 .feature files found","true","OK","2026-04-10T07:51:18Z","883419745","false","498","8","0","76","Gherkin","main","","","10","10","63","91981","2024-11-04T23:46:21Z","2026-03-30T00:53:35Z","2026-03-30T20:41:18Z","0","0","176","0","true","false","false","false","",""
"238","lakshithadil/Test-Automation-for-Swag-Labs","https://github.com/lakshithadil/Test-Automation-for-Swag-Labs","🛠 Automated testing for Swag Labs  web (Sauce Demo - https://www.saucedemo.com) with test cases and bug reports.","9","Gherkin","2023-09-03T08:18:38Z","2026-04-06T15:26:13.132453","true","12","12 .feature files found","true","OK","2026-04-10T07:51:58Z","683282950","false","11","1","0","2","Gherkin","main","MIT License","https://www.saucedemo.com","9","9","0","11571","2023-08-26T04:34:58Z","2023-09-03T08:18:38Z","2026-02-14T15:02:35Z","0","0","3","0","true","false","false","false","","bdd,chromedriver,gherkin,java,selenium,test-automation"
"239","oguzhanmelihguclu/BuySellCycle-API-KarateFramework","https://github.com/oguzhanmelihguclu/BuySellCycle-API-KarateFramework","N/A","6","Gherkin","2025-05-15T13:16:32Z","2026-04-06T15:26:16.895506","true","12","12 .feature files found","true","OK","2026-04-10T07:55:33Z","973172276","false","29","3","0","0","Gherkin","main","","","6","6","3","41","2025-04-26T12:21:10Z","2025-05-15T13:16:32Z","2025-07-02T09:24:33Z","0","0","10","0","true","false","false","false","",""
"240","yazidisme/karate-api-testing","https://github.com/yazidisme/karate-api-testing","Template project of Karate for API testing","6","Gherkin","2021-10-09T04:03:40Z","2026-04-06T15:26:16.895546","true","12","12 .feature files found","true","OK","2026-04-10T07:56:26Z","390952792","false","29","16","0","5","Gherkin","main","MIT License","","6","6","0","56","2021-07-30T06:13:03Z","2021-10-09T04:03:40Z","2025-05-10T12:20:47Z","0","0","15","0","true","false","false","false","","api-testing,cucumber-reporting,junit,karate,maven"
"241","qingstor/qingstor-sdk-test-scenarios","https://github.com/qingstor/qingstor-sdk-test-scenarios","Test scenarios for QingStor SDKs.","5","Gherkin","2021-02-09T02:50:10Z","2026-04-06T15:26:16.895696","true","12","12 .feature files found","true","OK","2026-04-10T07:59:49Z","75455512","false","29","1","0","5","Gherkin","master","Apache License 2.0","","5","5","6","71","2016-12-03T06:08:26Z","2021-02-09T02:50:10Z","2024-10-16T00:02:56Z","0","0","27","0","true","false","false","false","","qingstor-sdk,scenarios,test,test-scenarios"
"242","xendk/rid","https://github.com/xendk/rid","N/A","4","Gherkin","2026-01-30T23:30:45Z","2026-04-06T15:26:20.708669","true","12","12 .feature files found","true","OK","2026-04-10T08:03:19Z","370829845","false","37","1","0","0","Gherkin","main","","","4","4","0","61","2021-05-25T21:17:57Z","2026-01-30T23:30:45Z","2026-01-30T23:30:49Z","0","0","0","0","true","false","false","false","",""
"243","KalimohTraining/KarateTraining","https://github.com/KalimohTraining/KarateTraining","Repo for sharing files used in the Videos","4","Gherkin","2020-11-03T17:14:36Z","2026-04-06T15:26:20.708724","true","12","12 .feature files found","true","OK","2026-04-10T08:04:34Z","173545283","false","22","1","0","8","Gherkin","master","","","4","4","2","30","2019-03-03T07:41:34Z","2020-11-03T17:14:36Z","2022-03-21T06:24:45Z","0","0","0","0","true","false","false","false","",""
"244","reanahub/reana-demo-root6-roofit","https://github.com/reanahub/reana-demo-root6-roofit","REANA example - ROOT6/ RooFit based physics analysis","3","Gherkin","2026-03-30T09:25:28Z","2026-04-06T15:26:20.708817","true","12","12 .feature files found","true","OK","2026-04-10T08:06:38Z","92410984","false","81","4","0","40","Gherkin","master","MIT License","","3","3","12","116","2017-05-25T14:22:29Z","2026-03-30T09:25:28Z","2026-03-30T09:25:32Z","5","5","66","2","false","false","false","false","",""
"245","reanahub/reana-demo-helloworld","https://github.com/reanahub/reana-demo-helloworld","REANA example - ""hello world""","3","Gherkin","2026-03-25T13:50:58Z","2026-04-06T15:26:20.708847","true","12","12 .feature files found","true","OK","2026-04-10T08:07:21Z","87789084","false","65","2","0","40","Gherkin","master","MIT License","","3","3","11","111","2017-04-10T08:55:53Z","2026-03-25T13:50:58Z","2026-03-26T15:36:58Z","2","2","58","0","false","false","false","false","",""
"246","codewithmmak/karatedsl-boilerplate","https://github.com/codewithmmak/karatedsl-boilerplate","This is sample API Test Automation framework designed using Karate DSL","3","Gherkin","2026-02-21T13:49:32Z","2026-04-06T15:26:20.708896","true","12","12 .feature files found","true","OK","2026-04-10T08:08:26Z","479809310","false","48","11","0","1","Gherkin","master","MIT License","","3","3","2","48","2022-04-09T18:19:16Z","2026-02-21T13:49:32Z","2023-02-20T18:56:56Z","11","11","33","10","true","false","false","false","","api-testing-framework"
"247","HDmangukiya/KarateAPItest","https://github.com/HDmangukiya/KarateAPItest","N/A","1","Gherkin","2023-09-18T00:33:14Z","2026-04-06T15:26:30.391298","true","12","12 .feature files found","true","OK","2026-04-10T08:32:18Z","692899085","false","10","1","0","0","Gherkin","main","","","1","1","0","847","2023-09-17T23:05:09Z","2023-09-18T00:33:14Z","2023-09-18T00:38:08Z","0","0","0","0","true","false","false","false","",""
"248","chabilash/Karate_Framework","https://github.com/chabilash/Karate_Framework","N/A","1","Gherkin","2024-03-03T02:19:33Z","2026-04-06T15:26:40.383901","true","12","12 .feature files found","true","OK","2026-04-10T08:58:14Z","766285017","false","4","1","0","0","Gherkin","master","","","1","1","0","11","2024-03-02T20:48:49Z","2024-03-03T02:19:33Z","2026-01-31T20:11:11Z","0","0","0","0","true","false","false","false","",""
"249","serverlessworkflow/specification","https://github.com/serverlessworkflow/specification","Contains the official specification for the Serverless Workflow Domain Specific Language. It provides detailed guidelines and standards for defining, executing, and managing workflows in serverless environments, ensuring consistency and interoperability across implementations.","881","Gherkin","2026-02-26T14:30:38Z","2026-04-06T15:26:09.532308","true","11","11 .feature files found","true","OK","2026-04-10T07:37:16Z","264246502","false","1266","6","11","172","Gherkin","main","Apache License 2.0","http://serverlessworkflow.io","883","883","52","35345","2020-05-15T16:40:28Z","2026-02-26T14:30:38Z","2026-04-06T20:01:35Z","8","8","652","0","false","false","false","false","","cncf,serverless,specification,workflow"
"250","camaraproject/QualityOnDemand","https://github.com/camaraproject/QualityOnDemand","Incubating API Repository for QualityOnDemand API(s)","52","Gherkin","2026-03-20T14:52:54Z","2026-04-06T15:26:09.532502","true","11","11 .feature files found","true","OK","2026-04-10T07:41:31Z","462238497","false","1490","21","16","64","Gherkin","main","Apache License 2.0","https://lf-camaraproject.atlassian.net/wiki/x/XCPe","52","52","33","12221","2022-02-22T10:05:50Z","2026-03-20T14:52:54Z","2026-03-20T14:53:04Z","14","14","284","1","false","false","false","false","","camara-sp-connectivity-quality-management,incubating-api-repository"
"251","keveridge/WolframAlphaKit","https://github.com/keveridge/WolframAlphaKit","An iOS shortcut for querying the WolframAlpha API","17","Gherkin","2018-11-19T00:10:22Z","2026-04-06T15:26:13.132256","true","11","11 .feature files found","true","OK","2026-04-10T07:47:33Z","156773581","false","4","1","0","3","Gherkin","master","","","17","17","2","7","2018-11-08T21:51:06Z","2018-11-19T00:10:22Z","2025-08-02T11:00:28Z","2","2","0","0","true","false","false","false","",""
"252","camaraproject/CarrierBillingCheckOut","https://github.com/camaraproject/CarrierBillingCheckOut","Sandbox API repository for CarrierBillingCheckOut API(s)","13","Gherkin","2026-03-20T07:26:52Z","2026-04-06T15:26:13.132331","true","11","11 .feature files found","true","OK","2026-04-10T07:49:21Z","553544664","false","530","16","9","10","Gherkin","main","Apache License 2.0","https://lf-camaraproject.atlassian.net/wiki/x/CDDe","13","13","12","5483","2022-10-18T11:33:02Z","2026-03-20T07:26:52Z","2026-03-20T07:26:56Z","1","1","138","0","false","false","false","false","","sandbox-api-repository"
"253","camaraproject/WebRTC","https://github.com/camaraproject/WebRTC","Sandbox API repository to describe, develop, document and test the WebRTC Service API(s)","10","Gherkin","2026-04-02T07:50:23Z","2026-04-06T15:26:13.132386","true","11","11 .feature files found","true","OK","2026-04-10T07:50:38Z","697880190","false","333","1","6","13","Gherkin","main","Apache License 2.0","https://lf-camaraproject.atlassian.net/wiki/x/MS7e","10","10","13","3506","2023-09-28T16:57:33Z","2026-04-02T07:50:23Z","2026-04-02T07:50:23Z","24","24","85","5","false","false","false","false","","sandbox-api-repository"
"254","grasshopper7/cuke6-extent-adapter-report","https://github.com/grasshopper7/cuke6-extent-adapter-report","Generating Extent reports for Cucumber-JVM version 6 using the extentreports-cucumber6-adapter plugin","4","Gherkin","2025-05-15T17:54:49Z","2026-04-06T15:26:20.708763","true","11","11 .feature files found","true","OK","2026-04-10T08:05:24Z","271838948","false","43","2","0","21","Gherkin","master","","https://ghchirp.online/2098/","4","4","2","9894","2020-06-12T16:06:33Z","2025-05-15T17:54:49Z","2022-07-26T09:05:27Z","3","3","0","1","true","false","false","false","",""
"255","pytroll/cis-troll-match","https://github.com/pytroll/cis-troll-match","Python package for collocating (satellite) observations in time and space ","3","Gherkin","2017-10-05T02:12:07Z","2026-04-06T15:26:20.708838","true","11","11 .feature files found","true","OK","2026-04-10T08:07:11Z","79819596","false","49","4","0","1","Gherkin","develop","GNU Lesser General Public License v3.0","","3","3","0","39","2017-01-23T15:54:12Z","2017-10-05T02:12:07Z","2024-12-10T08:23:26Z","5","5","0","0","true","false","false","false","",""
"256","thirdrailuk/network-rail-json-schema","https://github.com/thirdrailuk/network-rail-json-schema","💻 JSON Schema for Network Rail JSON Messages","3","Gherkin","2020-05-14T13:45:22Z","2026-04-06T15:26:23.948798","true","11","11 .feature files found","true","OK","2026-04-10T08:13:02Z","263890864","false","1","1","0","4","Gherkin","master","MIT License","","3","3","0","25","2020-05-14T11:01:32Z","2020-05-14T13:45:22Z","2025-08-03T13:59:49Z","1","1","0","0","true","false","false","false","",""
"257","arcones/karate-codemotion","https://github.com/arcones/karate-codemotion","Resources for the talk http://bit.ly/codemotionKarate","2","Gherkin","2019-09-26T09:28:37Z","2026-04-06T15:26:27.107195","true","11","11 .feature files found","true","OK","2026-04-10T08:23:49Z","209730840","false","16","1","0","1","Gherkin","master","","","2","2","0","21886","2019-09-20T07:23:33Z","2019-09-26T09:28:37Z","2020-01-28T12:46:33Z","0","0","0","0","true","false","false","false","",""
"258","grasshopper7/cuke5-extent-adapter-report","https://github.com/grasshopper7/cuke5-extent-adapter-report","Generating Extent reports for Cucumber-JVM version 5 using the extentreports-cucumber5-adapter plugin","2","Gherkin","2025-05-15T17:54:46Z","2026-04-06T15:26:27.107325","true","11","11 .feature files found","true","OK","2026-04-10T08:26:37Z","222265369","false","53","2","0","10","Gherkin","master","","https://ghchirp.online/1697/","2","2","2","9730","2019-11-17T15:01:07Z","2025-05-15T17:54:46Z","2023-12-31T17:01:32Z","1","1","0","1","true","false","false","false","","cucumber-jvm,extentreports,java-8"
"259","chatapp-dev/chat_requirements_bdd","https://github.com/chatapp-dev/chat_requirements_bdd","Requirements documentation for a web chat application using Node.js, Cucumber and Gherkin, following BDD principles.","1","Gherkin","2024-11-21T17:24:59Z","2026-04-06T15:26:30.391364","true","11","11 .feature files found","true","OK","2026-04-10T08:33:42Z","887414748","false","4","2","0","0","Gherkin","main","","","1","1","2","24","2024-11-12T17:48:25Z","2024-11-21T17:24:59Z","2024-11-21T17:25:44Z","0","0","0","0","true","false","false","false","",""
"260","infinitythegame/rules","https://github.com/infinitythegame/rules","Rules as Gherkin feature files","1","Gherkin","2016-01-19T11:02:27Z","2026-04-06T15:26:30.391403","true","11","11 .feature files found","true","OK","2026-04-10T08:34:31Z","36752368","false","24","3","0","0","Cucumber","master","MIT License","","1","1","0","28","2015-06-02T18:13:37Z","2016-01-19T11:02:27Z","2017-08-05T17:49:42Z","0","0","0","0","true","false","false","false","",""
"261","ODIQueensland/ckan-data-curator-integration","https://github.com/ODIQueensland/ckan-data-curator-integration","A place to plan, collect issues and store items that support integrating Data Curator with CKAN","1","Gherkin","2018-07-10T23:30:57Z","2026-04-06T15:26:33.678784","true","11","11 .feature files found","true","OK","2026-04-10T08:39:48Z","134626910","false","84","1","0","0","Gherkin","master","MIT License","","1","1","0","80","2018-05-23T21:23:00Z","2018-07-10T23:30:57Z","2020-07-09T23:21:09Z","18","18","0","0","true","false","false","false","",""
"262","dschweie/robotframework-syndata","https://github.com/dschweie/robotframework-syndata","Library to compile sythetic test data","1","Gherkin","2026-03-21T12:57:29Z","2026-04-06T15:26:37.136257","true","11","11 .feature files found","true","OK","2026-04-10T08:44:10Z","420456184","false","40","1","0","0","Gherkin","main","GNU General Public License v3.0","","1","1","0","24668","2021-10-23T15:53:20Z","2026-03-21T12:57:29Z","2026-03-21T12:57:33Z","0","0","0","0","true","false","false","false","",""
"263","AshisRaj/Karate-API-Tests","https://github.com/AshisRaj/Karate-API-Tests","N/A","1","Gherkin","2024-01-17T11:19:35Z","2026-04-06T15:26:40.383879","true","11","11 .feature files found","true","OK","2026-04-10T08:57:47Z","738070773","false","12","1","0","0","Gherkin","main","Apache License 2.0","","1","1","0","271","2024-01-02T10:53:56Z","2024-01-17T11:19:35Z","2024-01-29T16:23:32Z","0","0","0","0","true","false","false","false","",""
"264","samueltbrown/gradle-cucumber-plugin","https://github.com/samueltbrown/gradle-cucumber-plugin","Plugin to support cucumber-jvm in Gradle  builds","80","Gherkin","2018-12-19T15:38:55Z","2026-04-06T15:26:09.532463","true","10","10 .feature files found","true","OK","2026-04-10T07:40:34Z","5088870","false","154","5","2","44","Cucumber","master","MIT License","","80","80","9","1105","2012-07-17T22:15:15Z","2018-12-19T15:38:55Z","2025-09-05T12:29:07Z","26","26","20","3","true","false","false","false","",""
"265","b-yond-infinite-network/md-to-adf","https://github.com/b-yond-infinite-network/md-to-adf","Markdown to Atlassian Document Format translation/traduction","51","Gherkin","2024-05-06T15:11:11Z","2026-04-06T15:26:09.532506","true","10","10 .feature files found","true","OK","2026-04-10T07:41:36Z","236647187","false","34","12","11","9","Gherkin","master","Apache License 2.0","","51","51","0","2473","2020-01-28T03:08:50Z","2024-05-06T15:11:11Z","2026-03-06T14:51:12Z","21","21","17","11","true","false","false","false","","adf,confluence,jira,markdown,markdown-to-adf,markdown-to-confluence,markdown-to-jira"
"266","jgsheffer/glyptic_training_materials","https://github.com/jgsheffer/glyptic_training_materials","N/A","26","Gherkin","2017-06-19T17:53:03Z","2026-04-06T15:26:09.532643","true","10","10 .feature files found","true","OK","2026-04-10T07:44:44Z","91336720","false","3","1","0","11","Gherkin","master","","","26","26","0","20705","2017-05-15T12:44:01Z","2017-06-19T17:53:03Z","2026-02-12T12:22:59Z","0","0","0","0","true","false","false","false","",""
"267","bondar-artem/karate-dsl-class","https://github.com/bondar-artem/karate-dsl-class","Source code from my Karate DSL class","20","Gherkin","2024-03-27T16:10:32Z","2026-04-06T15:26:13.132203","true","10","10 .feature files found","true","OK","2026-04-10T07:46:21Z","299451071","false","45","1","0","27","Gherkin","master","","","20","20","0","46","2020-09-28T23:01:53Z","2024-03-27T16:10:32Z","2025-07-25T09:12:42Z","0","0","3","0","true","false","false","false","",""
"268","mdsol/dice_bag","https://github.com/mdsol/dice_bag","DiceBag is a library of rake tasks for configuring web apps in the style of The Twelve-Factor App.","19","Gherkin","2023-09-18T16:06:45Z","2026-04-06T15:26:13.132214","true","10","10 .feature files found","true","OK","2026-04-10T07:46:37Z","6171817","false","266","8","0","4","Gherkin","develop","MIT License","","19","19","20","220","2012-10-11T09:59:16Z","2023-09-18T16:06:45Z","2022-03-11T13:43:45Z","2","2","74","0","false","false","false","false","","patient-mgmt,platform,site-mgmt,study-conduct"
"269","wearefriday/eyemask","https://github.com/wearefriday/eyemask","Generate rich documentation from your Cucumber specs","8","Gherkin","2015-08-09T00:31:40Z","2026-04-06T15:26:13.132492","true","10","10 .feature files found","true","OK","2026-04-10T07:52:52Z","32083303","false","49","1","0","1","Cucumber","master","MIT License","","8","8","0","316","2015-03-12T15:04:54Z","2015-08-09T00:31:40Z","2021-01-30T09:24:37Z","0","0","0","0","true","false","false","false","",""
"270","serenity-bdd/serenity-banking-demo","https://github.com/serenity-bdd/serenity-banking-demo","N/A","7","Gherkin","2018-10-14T17:09:08Z","2026-04-06T15:26:13.132534","true","10","10 .feature files found","true","OK","2026-04-10T07:53:53Z","151770528","false","23","2","0","10","Gherkin","master","Apache License 2.0","","7","7","0","6520","2018-10-05T19:49:00Z","2018-10-14T17:09:08Z","2025-07-25T05:12:48Z","0","0","0","0","true","false","false","false","",""
"271","bioboxes/command-line-interface","https://github.com/bioboxes/command-line-interface","Command line interface for running and verifying biobox images","5","Gherkin","2017-09-01T11:21:53Z","2026-04-06T15:26:16.895676","true","10","10 .feature files found","true","OK","2026-04-10T07:59:24Z","38617059","false","397","5","0","5","Gherkin","master","MIT License","","5","5","3","706","2015-07-06T12:22:22Z","2017-09-01T11:21:53Z","2021-04-07T01:29:18Z","9","9","78","0","true","false","false","false","",""
"272","Cydeo-EU8/KarateFramework","https://github.com/Cydeo-EU8/KarateFramework","N/A","4","Gherkin","2022-11-21T04:10:11Z","2026-04-06T15:26:20.708691","true","10","10 .feature files found","true","OK","2026-04-10T08:03:50Z","568630554","false","10","1","0","4","Gherkin","master","","","4","4","3","16","2022-11-21T04:09:34Z","2022-11-21T04:10:11Z","2024-02-22T17:58:14Z","0","0","0","0","true","false","false","false","",""
"273","arcones/karate-demo","https://github.com/arcones/karate-demo","Recursos para la charla de Karate http://apidaysmad.apiaddicts.org/schedule/#session-12","3","Gherkin","2019-05-02T17:47:58Z","2026-04-06T15:26:20.708774","true","10","10 .feature files found","true","OK","2026-04-10T08:05:39Z","180640034","false","54","1","0","1","Gherkin","master","","","3","3","0","26261","2019-04-10T18:23:58Z","2019-05-02T17:47:58Z","2019-05-27T09:45:39Z","0","0","0","0","true","false","false","false","",""
"274","jairoalm/automacao-api-ruby","https://github.com/jairoalm/automacao-api-ruby","N/A","3","Gherkin","2023-04-19T20:46:58Z","2026-04-06T15:26:20.708890","true","10","10 .feature files found","true","OK","2026-04-10T08:08:21Z","623642990","false","34","3","0","0","Gherkin","master","","","3","3","0","38","2023-04-04T19:32:41Z","2023-04-19T20:46:58Z","2023-04-19T20:47:03Z","0","0","12","0","true","false","false","false","",""
"275","simpledotorg/dhis2-hypertension-package","https://github.com/simpledotorg/dhis2-hypertension-package","A DHIS2 package that can be used by any team working on hypertension and/or diabetes control projects. The package consists of a DHIS2 Tracker program to manage individual patients and a DHIS2 Dashboard to monitor program outcomes. ","2","Gherkin","2026-03-31T15:16:20Z","2026-04-06T15:26:27.107049","true","10","10 .feature files found","true","OK","2026-04-10T08:20:51Z","806588435","false","172","9","0","0","Gherkin","main","","https://dhis2-htn-dm-demo.simple.org/dhis-web-commons/security/login.action","2","2","9","24896","2024-05-27T13:38:23Z","2026-03-31T15:16:20Z","2026-03-31T15:16:41Z","0","0","21","0","false","false","false","false","","dhis2,opensource,publichealth"
"276","Rogatto/karate-gatling-example","https://github.com/Rogatto/karate-gatling-example","Repositório de exemplo do Framework Karate e Gatling","2","Gherkin","2019-10-15T02:33:06Z","2026-04-06T15:26:27.107075","true","10","10 .feature files found","true","OK","2026-04-10T08:21:21Z","177589657","false","20","1","0","2","Gherkin","master","","","2","2","2","24","2019-03-25T13:15:08Z","2019-10-15T02:33:06Z","2020-01-16T12:08:50Z","1","1","0","0","true","false","false","false","",""
"277","VictorinoTrainer/workshop27102020","https://github.com/VictorinoTrainer/workshop27102020","N/A","2","Gherkin","2020-11-04T04:11:36Z","2026-04-06T15:26:27.107104","true","10","10 .feature files found","true","OK","2026-04-10T08:21:52Z","307897889","false","3","1","0","0","Gherkin","master","","","2","2","0","8","2020-10-28T03:37:12Z","2020-11-04T04:11:36Z","2025-02-21T13:05:23Z","0","0","0","0","true","false","false","false","",""
"278","the-cloudset/cloudset-tests","https://github.com/the-cloudset/cloudset-tests","Behavior tests for cloudset","2","Gherkin","2023-06-09T12:02:25Z","2026-04-06T15:26:27.107123","true","10","10 .feature files found","true","OK","2026-04-10T08:22:18Z","426582718","false","19","6","0","0","Gherkin","main","","","2","2","0","95","2021-11-10T10:42:36Z","2023-06-09T12:02:25Z","2024-01-12T18:24:09Z","3","3","10","3","true","false","false","false","",""
"279","Johnny1808/DesafioYape","https://github.com/Johnny1808/DesafioYape","QA Automation Engineer] Desafío técnico - Johnny Mallqui Moreno","1","Gherkin","2024-09-26T22:49:20Z","2026-04-06T15:26:30.391193","true","10","10 .feature files found","true","OK","2026-04-10T08:30:06Z","862107012","false","9","1","0","0","Gherkin","main","","","1","1","0","17","2024-09-24T03:44:39Z","2024-09-26T22:49:20Z","2024-09-26T22:49:23Z","0","0","0","0","true","false","false","false","",""
"280","neiltorrentira/KarateAPIAutomation","https://github.com/neiltorrentira/KarateAPIAutomation","Karate API Automation","1","Gherkin","2023-05-03T08:27:12Z","2026-04-06T15:26:30.391380","true","10","10 .feature files found","true","OK","2026-04-10T08:34:02Z","603069260","false","15","2","0","0","Gherkin","master","GNU General Public License v3.0","","1","1","0","37","2023-02-17T14:56:33Z","2023-05-03T08:27:12Z","2023-02-22T13:16:42Z","0","0","0","0","true","false","false","false","",""
"281","syntestio/syntestio-admin-tests","https://github.com/syntestio/syntestio-admin-tests","Syntestio.com tests","1","Gherkin","2025-05-07T11:27:35Z","2026-04-06T15:26:33.678616","true","10","10 .feature files found","true","OK","2026-04-10T08:36:27Z","974820617","false","9","1","0","0","Gherkin","main","","","1","1","0","13","2025-04-29T11:03:59Z","2025-05-07T11:27:35Z","2025-05-09T07:50:59Z","0","0","0","0","true","false","false","false","",""
"282","Grupo3-OpenSource-SW56/Informe-Trabajo","https://github.com/Grupo3-OpenSource-SW56/Informe-Trabajo","N/A","1","Gherkin","2024-11-01T23:55:46Z","2026-04-06T15:26:33.678925","true","10","10 .feature files found","true","OK","2026-04-10T08:42:39Z","847524930","false","123","2","0","3","Gherkin","main","","","1","1","4","39721","2024-08-26T03:05:37Z","2024-11-01T23:55:46Z","2025-04-13T00:22:33Z","0","0","0","0","true","false","false","false","",""
"283","htmlacademy/js3-six-cities-e2e","https://github.com/htmlacademy/js3-six-cities-e2e","Автоматические e2e тесты для проекта «Шесть городов»","1","Gherkin","2024-05-27T19:56:36Z","2026-04-06T15:26:37.136448","true","10","10 .feature files found","true","OK","2026-04-10T08:48:16Z","676527159","false","15","4","0","4","Gherkin","season/16","","","1","1","4","519","2023-08-09T12:02:47Z","2024-05-27T19:56:36Z","2025-08-31T18:46:05Z","2","2","3","0","true","false","false","false","",""
"284","GOKSEL2022/karateFramework","https://github.com/GOKSEL2022/karateFramework","N/A","1","Gherkin","2024-02-18T21:39:44Z","2026-04-06T15:26:40.383798","true","10","10 .feature files found","true","OK","2026-04-10T08:56:16Z","717763632","false","27","2","0","0","Gherkin","main","","","1","1","2","44","2023-11-12T14:18:24Z","2024-02-18T21:39:44Z","2024-01-14T00:21:04Z","0","0","10","0","true","false","false","false","",""
